,Authors,Title,Year,Cited by,Funding Details,Country
23,"Lloyd T.E., Mammen A.L., Amato A.A., Weiss M.D., Needham M., Greenberg S.A.",Evaluation and construction of diagnostic criteria for inclusion body myositis,2014,104.0,National Institute of Neurological Disorders and Stroke,Australia
24,"Qin J., Zheng W.X., Gao H.",Coordination of multiple agents with double-integrator dynamics under generalized interaction topologies,2012,104.0,"Australian Research Council

National Natural Science Foundation of China

Ministry of Education of the People's Republic of China

Foundation for the Author of National Excellent Doctoral Dissertation of the People's Republic of China

Northeastern University

China Scholarship Council

National Key Research and Development Program of China",Australia
25,"Celebi M.E., Iyatomi H., Stoecker W.V., Moss R.H., Rabinovitz H.S., Argenziano G., Soyer H.P.",Automatic detection of blue-white veil and related structures in dermoscopy images,2008,104.0,"National Science Foundation

National Institutes of Health

National Cancer Institute

Small Business Innovation Research

Texas Workforce Commission",Australia
26,"Trost S.G., Zheng Y., Wong W.-K.",Machine learning for activity recognition: Hip versus wrist data,2014,103.0,Eunice Kennedy Shriver National Institute of Child Health and Human Development,Australia
27,"Gao X., Wang B., Tao D., Li X.",A relay level set method for automatic image segmentation,2011,102.0,"Microsoft Research Asia

National Natural Science Foundation of China

Ministry of Education of the People's Republic of China

National Laboratory of Pattern Recognition

National Key Research and Development Program of China

Natural Science Basic Research Program of Shaanxi Province",Australia
28,"Wang L., Zhang J., Liu P., Choo K.-K.R., Huang F.",Spectral–spatial multi-feature-based deep learning for hyperspectral remote sensing image classification,2017,99.0,National Natural Science Foundation of China,Australia
29,"Patrick J., Li M.",High accuracy information extraction of medication information from clinical notes: 2009 i2b2 medication extraction challenge,2010,97.0,U.S. National Library of Medicine,Australia
30,"Tang J., Zha Z.-J., Tao D., Chua T.-S.",Semantic-gap-oriented active learning for multilabel image annotation,2012,96.0,"Australian Research Council

National Natural Science Foundation of China

Natural Science Foundation of Jiangsu Province

National Key Research and Development Program of China",Australia
31,"Zhu X., Zhang P., Lin X., Shi Y.",Active learning from stream data using optimal weight classifier ensemble,2010,96.0,National Natural Science Foundation of China,Australia
32,"Chaney N.W., Wood E.F., McBratney A.B., Hempel J.W., Nauman T.W., Brungard C.W., Odgers N.P.",POLARIS: A 30-meter probabilistic soil series map of the contiguous United States,2016,93.0,"National Science Foundation

Australian Research Council",Australia
33,"Yu J., Liu D., Tao D., Seah H.S.",On combining multiple features for cartoon character retrieval and clip synthesis,2012,93.0,"Australian Research Council

National Natural Science Foundation of China",Australia
34,"Benosman R., Ieng S.-H., Clercq C., Bartolozzi C., Srinivasan M.",Asynchronous frameless event-based optical flow,2012,93.0,"Seventh Framework Programme

European Commission",Australia
35,"Liu P., Choo K.-K.R., Wang L., Huang F.",SVM or deep learning? A comparative study on remote sensing image classification,2017,92.0,National Natural Science Foundation of China,Australia
36,"Shehzad Z., Kelly C., Reiss P.T., Cameron Craddock R., Emerson J.W., McMahon K., Copland D.A., Xavier Castellanos F., Milham M.P.",A multivariate distance-based analytic framework for connectome-wide association studies,2014,92.0,"National Institute of Mental Health

Brain and Behavior Research Foundation

Leon Levy Foundation

Stavros Niarchos Foundation",Australia
37,"De Jong J.T.A., Verdoes Kleijn G.A., Erben T., Hildebrandt H., Kuijken K., Sikkema G., Brescia M., Bilicki M., Napolitano N.R., Amaro V., Begeman K.G., Boxhoorn D.R., Buddelmeijer H., Cavuoti S., Getman F., Grado A., Helmich E., Huang Z., Irisarri N., La Barbera F., Longo G., McFarland J.P., Nakajima R., Paolillo M., Puddu E., Radovich M., Rifatto A., Tortora C., Valentijn E.A., Vellucci C., Vriend W.-J., Amon A., Blake C., Choi A., Conti I.F., Gwyn S.D.J., Herbonnet R., Heymans C., Hoekstra H., Klaes D., Merten J., Miller L., Schneider P., Viola M.",The third data release of the Kilo-Degree Survey and associated data products,2017,91.0,"Alexander von Humboldt-Stiftung

Association pour la Recherche sur le Cancer

Horizon 2020 Framework Programme

Seventh Framework Programme

American Academy of Ophthalmology

FP7 Ideas: European Research Council

Division of Loan Repayment

Science and Technology Facilities Council

Marie Curie

European Research Council

Australian Research Council

Deutsche Forschungsgemeinschaft

Bundesministerium für Wirtschaft und Technologie

Nederlandse Organisatie voor Wetenschappelijk Onderzoek

Università degli Studi di Padova

Seventh Framework Programme

European Regional Development Fund

Nederlandse Onderzoekschool Voor Astronomie

Università ta' Malta",Australia
38,"Lian J., Feng Z., Shi P.",Observer design for switched recurrent neural networks: An average dwell time approach,2011,90.0,National Natural Science Foundation of China,Australia
39,"Kiral-Kornek I., Roy S., Nurse E., Mashford B., Karoly P., Carroll T., Payne D., Saha S., Baldassano S., O'Brien T., Grayden D., Cook M., Freestone D., Harrer S.",Epileptic Seizure Prediction Using Big Data and Deep Learning: Toward a Mobile System,2018,87.0,"National Science Foundation

National Health and Medical Research Council",Australia
40,"Li F., Li C., Wang M., Webb G.I., Zhang Y., Whisstock J.C., Song J.","GlycoMine: A machine learning-based approach for predicting N-, C-and O-linked glycosylation in the human proteome",2015,87.0,"National Health and Medical Research Council

Monash University

National Natural Science Foundation of China

Chinese Academy of Sciences",Australia
41,"Shao H., Han Q.-L.",New delay-dependent stability criteria for neural networks with two additive time-varying delay components,2011,86.0,"Australian Research Council

National Natural Science Foundation of China

Natural Science Foundation of Shandong Province",Australia
42,"Sajedi-Hosseini F., Malekian A., Choubin B., Rahmati O., Cipullo S., Coulon F., Pradhan B.",A novel machine learning-based approach for the risk assessment of nitrate groundwater contamination,2018,83.0,Horizon 2020 Framework Programme,Australia
43,"Arnott D., Pervan G.",A critical analysis of decision support systems research revisited: The rise of design science,2014,83.0,"National Science Foundation

National Research Council Canada

Australian Research Council

Research Councils UK",Australia
44,"Carneiro G., Nascimento J.C.",Combining multiple dynamic models and deep learning architectures for tracking the left ventricle endocardium in ultrasound data,2013,77.0,Seventh Framework Programme,Australia
45,"Kutter O., Shams R., Navab N.",Visualization and GPU-accelerated simulation of medical ultrasound from CT images,2009,76.0,European Commission,Australia
46,"Wang L., Geng H., Liu P., Lu K., Kolodziej J., Ranjan R., Zomaya A.Y.",Particle Swarm Optimization based dictionary learning for remote sensing big data,2015,75.0,"National Natural Science Foundation of China

Natural Science Foundation of Beijing Municipality",Australia
47,"Acosta O., Bourgeat P., Zuluaga M.A., Fripp J., Salvado O., Ourselin S.",Automated voxel-based 3D cortical thickness measurement in a combined Lagrangian-Eulerian PDE approach using partial volume maps,2009,74.0,"National Institutes of Health

National Institute on Aging

National Institute of Biomedical Imaging and Bioengineering

Pfizer

GlaxoSmithKline

DoD Alzheimer's Disease Neuroimaging Initiative",Australia
48,"Thiébaux S., Hoffmann J., Nebel B.",In defense of PDDL axioms,2005,73.0,"National ICT Australia

European Commission

Australian Research Council

Deutsche Forschungsgemeinschaft",Australia
49,"Cai S., Su K.",Local search for Boolean Satisfiability with configuration checking and subscore,2013,72.0,"Appalachian Regional Commission

National Natural Science Foundation of China

Fundamental Research Funds for the Central Universities",Australia
50,"Huang F., Yin K., Huang J., Gui L., Wang P.",Landslide susceptibility mapping based on self-organizing-map network and extreme learning machine,2017,70.0,National Natural Science Foundation of China,Australia
51,"Julia Flores M., Nicholson A.E., Brunskill A., Korb K.B., Mascaro S.",Incorporating expert knowledge when learning Bayesian network structure: A medical case study,2011,69.0,"Ministerio de Ciencia e Innovación

Universidad de Castilla-La Mancha

European Regional Development Fund",Australia
52,"Li H., Wang J., Lu H., Guo Z.",Research and application of a combined model based on variable weight for short term wind speed forecasting,2018,68.0,National Natural Science Foundation of China,Australia
53,"Shen K.-K., Fripp J., Mériaudeau F., Chételat G., Salvado O., Bourgeat P.",Detecting global and local hippocampal shape changes in Alzheimer's disease using statistical shape models,2012,67.0,"National Institutes of Health

National Institute on Aging

National Institute of Biomedical Imaging and Bioengineering

Dana Foundation

Abbott Laboratories

Bristol-Myers Squibb

AstraZeneca

Genentech

GlaxoSmithKline

Johnson and Johnson

GE Healthcare

Alzheimer's Disease Neuroimaging Initiative

Elan

Innogenetics

Bayer Schering",Australia
54,"Ström P., Kartasalo K., Olsson H., Solorzano L., Delahunt B., Berney D.M., Bostwick D.G., Evans A.J., Grignon D.J., Humphrey P.A., Iczkowski K.A., Kench J.G., Kristiansen G., van der Kwast T.H., Leite K.R.M., McKenney J.K., Oxley J., Pan C.-C., Samaratunga H., Srigley J.R., Takahashi H., Tsuzuki T., Varma M., Zhou M., Lindberg J., Lindskog C., Ruusuvuori P., Wählby C., Grönberg H., Rantalainen M., Egevad L., Eklund M.","Artificial intelligence for diagnosis and grading of prostate cancer in biopsies: a population-based, diagnostic study",2020,65.0,"KAUTE-Säätiö

EIT Health

European Research Council

Academy of Finland

Cancerfonden

Vetenskapsrådet

Tampereen Teknillinen Yliopisto

Tampereen Yliopisto

Emil Aaltosen Säätiö

Tekniikan Edistämissäätiö

Syöpäjärjestöt

Forskningsrådet om Hälsa, Arbetsliv och Välfärd

Orionin Tutkimussäätiö

Svenska Litteratursällskapet i Finland

Walter Ahlströmin Säätiö",Australia
55,"Li Z., Keel S., Liu C., He Y., Meng W., Scheetz J., Lee P.Y., Shaw J., Ting D., Wong T.Y., Taylor H., Chang R., He M.",An automated grading system for detection of vision-threatening referable diabetic retinopathy on the basis of color fundus photographs,2018,65.0,"National Health and Medical Research Council

University of Melbourne

National Natural Science Foundation of China

Bupa Health Foundation

Science and Technology Planning Project of Guangdong Province",Australia
56,"Chen C., Wang Y., Zhang J., Xiang Y., Zhou W., Min G.",Statistical Features-Based Real-Time Detection of Drifted Twitter Spam,2017,63.0,"Australian Research Council

National Natural Science Foundation of China",Australia
57,"Deng C., Liu X., Li C., Tao D.",Active multi-kernel domain adaptation for hyperspectral image classification,2018,61.0,"National Natural Science Foundation of China

Beijing Municipal Science and Technology Commission

State Key Laboratory of Software Development Environment",Australia
58,"Han G.-S., Yu Z.-G., Anh V.",A two-stage SVM method to predict membrane protein types by incorporating amino acid classifications and physicochemical properties into a general form of Chou's PseAAC,2014,60.0,"Australian Research Council

National Natural Science Foundation of China

Science and Technology Innovative Research Team in Higher Educational Institutions of Hunan Province",Australia
59,"Liu X., Wang L., Yin J., Zhu E., Zhang J.",An efficient approach to integrating radius information into multiple kernel learning,2013,60.0,0,Australia
60,"Prabhakar S., Goel A.K.",Functional modeling for enabling adaptive design of devices for new environments,1998,60.0,"National Science Foundation

Defense Advanced Research Projects Agency",Australia
61,"Zhang R., Xu Z.-B., Huang G.-B., Wang D.",Global convergence of online BP training with dynamic learning rate,2012,59.0,"National Natural Science Foundation of China

Xi’an Jiaotong University

National Key Research and Development Program of China

Kementerian Pendidikan Malaysia",Australia
62,"Du B., Wang Z., Zhang L., Zhang L., Tao D.",Robust and Discriminative Labeling for Multi-Label Active Learning Based on Maximum Correntropy Criterion,2017,58.0,"Australian Research Council

National Natural Science Foundation of China

Natural Science Foundation of Hubei Province

Fundamental Research Funds for the Central Universities",Australia
63,"Song M., Tao D., Huang X., Chen C., Bu J.",Three-dimensional face reconstruction from a single image by a coupled RBF network,2012,58.0,"Australian Research Council

National Natural Science Foundation of China",Australia
64,"Wang T., Luo H., Zheng X., Xie M.",Crowdsourcing mechanism for trust evaluation in CPCS based on intelligent mobile edge computing,2019,56.0,"National Natural Science Foundation of China

Natural Science Foundation of Fujian Province

Huaqiao University",Australia
65,"Paternain D., Fernandez J., Bustince H., Mesiar R., Beliakov G.",Construction of image reduction operators using averaging aggregation functions,2015,55.0,European Regional Development Fund,Australia
66,"Yin J., Wang Y., Hu J.",A new dimensionality reduction algorithm for hyperspectral image using evolutionary strategy,2012,53.0,"National Natural Science Foundation of China

Chinese Academy of Sciences

Specialized Research Fund for the Doctoral Program of Higher Education of China",Australia
67,"Wang C., Wang M., Liu T., Hill D.J.",Learning from ISS-modular adaptive NN control of nonlinear strict-feedback systems,2012,51.0,"National Natural Science Foundation of China

Natural Science Foundation of Guangdong Province

South China University of Technology

Fundamental Research Funds for the Central Universities",Australia
68,"Liu M., Zhang F., Ma Y., Pota H.R., Shen W.",Evacuation path optimization based on quantum ant colony algorithm,2016,50.0,National Natural Science Foundation of China,Australia
69,"Geng X., Smith-Miles K., Zhou Z.-H., Wang L.",Face image modeling by multilinear subspace analysis with missing values,2011,50.0,"Australian Research Council

National Natural Science Foundation of China

Natural Science Foundation of Jiangsu Province

Southeast University

Key Laboratory of Computer Network and Information Integration

National Key Research and Development Program of China

Scientific Research Foundation for Returned Scholars of Ministry of Education",Australia
70,"Deng C., Xue Y., Liu X., Li C., Tao D.",Active Transfer Learning Network: A Unified Deep Joint Spectral-Spatial Feature Learning Model for Hyperspectral Image Classification,2019,49.0,"Australian Research Council

National Natural Science Foundation of China",Australia
71,"Nie L., Zhang L., Meng L., Song X., Chang X., Li X.",Modeling Disease Progression via Multisource Multitask Learners: A Case Study with Alzheimer's Disease,2017,49.0,National Natural Science Foundation of China,Australia
72,"Zhang Y., Wu J., Cai Z., Zhang P., Chen L.",Memetic Extreme Learning Machine,2016,48.0,"National Natural Science Foundation of China

Natural Science Foundation of Hubei Province

China University of Geosciences, Wuhan",Australia
73,"Shi Y., Thompson P.M., de Zubicaray G.I., Rose S.E., Tu Z., Dinov I., Toga A.W.",Direct mapping of hippocampal surfaces with intrinsic shape context,2007,48.0,"National Institutes of Health

National Institute of Mental Health

National Institute on Aging

National Center for Research Resources",Australia
74,"Teng H., Viscarra Rossel R.A., Shi Z., Behrens T., Chappell A., Bui E.",Assimilating satellite imagery and visible-near infrared spectroscopy to model and map soil loss by water erosion in Australia,2016,47.0,National Natural Science Foundation of China,Australia
75,"Zhou X., Gao D.Y., Yang C., Gui W.",Discrete state transition algorithm for unconstrained integer optimization problems,2016,47.0,"National Natural Science Foundation of China

China National Funds for Distinguished Young Scientists

Foundation for Innovative Research Groups of the National Natural Science Foundation of China",Australia
76,"Ren X.M., Rad A.B.",Identification of nonlinear systems with unknown time delay based on time-delay neural networks,2007,44.0,"National Natural Science Foundation of China

Hong Kong Polytechnic University",Australia
77,"Qin J., Li M., Shi Y., Ma Q., Zheng W.X.",Optimal Synchronization Control of Multiagent Systems with Input Saturation via Off-Policy Reinforcement Learning,2019,43.0,"Australian Research Council

National Natural Science Foundation of China

Youth Innovation Promotion Association of the Chinese Academy of Sciences

Fok Ying Tong Education Foundation

Higher Education Discipline Innovation Project",Australia
78,"Taherzadeh G., Yang Y., Zhang T., Liew A.W.-C., Zhou Y.",Sequence-based prediction of protein-peptide binding sites using support vector machine,2016,43.0,"Microsoft

Australian Research Council

National Natural Science Foundation of China",Australia
79,"Peng C., Fei M.-R., Tian E., Guan Y.-P.",On hold or drop out-of-order packets in networked control systems,2014,42.0,"National Natural Science Foundation of China

Science and Technology Commission of Shanghai Municipality

Natural Science Foundation of Jiangsu Province

Program for Professor of Special Appointment (Eastern Scholar) at Shanghai Institutions of Higher Learning",Australia
80,"Preston D.J., Rothemund P., Jiang H.J., Nemitz M.P., Rawson J., Suo Z., Whitesides G.M.",Digital logic for soft devices,2019,41.0,"U.S. Department of Energy

Basic Energy Sciences

Division of Materials Sciences and Engineering

University of Sydney

National Science Foundation",Australia
81,"Anaya-Romero M., Abd-Elmabod S.K., Muñoz-Rojas M., Castellano G., Ceacero C.J., Alvarez S., Méndez M., De la Rosa D.","Evaluating Soil Threats Under Climate Change Scenarios in the Andalusia Region, Southern Spain",2015,41.0,Seventh Framework Programme,Australia
82,"Wang D., Larder B., Revell A., Montaner J., Harrigan R., De Wolf F., Lange J., Wegner S., Ruiz L., Pérez-Elías M.J., Emery S., Gatell J., D'Arminio Monforte A., Torti C., Zazzi M., Lane C.",A comparison of three computational modelling methods for the prediction of virological response to combination HIV therapy,2009,41.0,"National Institutes of Health

National Cancer Institute",Australia
83,"Huang Q., Tao D., Li X., Liew A.",Parallelized evolutionary learning for detection of biclusters in gene expression data,2012,39.0,"Ministry of Education

Australian Research Council

National Natural Science Foundation of China

Program for New Century Excellent Talents in University

South China University of Technology

National Basic Research Program of China (973 Program)

Fundamental Research Funds for the Central Universities

Doctoral Program Foundation of Institutions of Higher Education of China",Australia
84,"Liu W., Zhang X., Li S., Ying M.",Reasoning about cardinal directions between extended objects,2010,38.0,"Australian Research Council

National Natural Science Foundation of China

National Key Research and Development Program of China",Australia
85,"Taherizadeh S., Stankovski V., Grobelnik M.",A capillary computing architecture for dynamic internet of things: Orchestration of microservices from edge devices to fog and cloud providers,2018,37.0,"Horizon 2020 Framework Programme

Horizon 2020",Australia
86,"Xu X., Liu Z., Wang Z., Sheng Q.Z., Yu J., Wang X.",S-ABC: A paradigm of service domain-oriented artificial bee colony algorithms for service selection and composition,2017,37.0,"Australian Research Council

National Natural Science Foundation of China",Australia
87,"Lou X., Cui B.",Synchronization of neural networks based on parameter identification and via output or state coupling,2008,37.0,"National Natural Science Foundation of China

Ministry of Education of the People's Republic of China

Natural Science Foundation of Jiangsu Province",Australia
88,"Zhao Y., Jia R., Shi P.",A novel combination method for conflicting evidence based on inconsistent measurements,2016,36.0,"National Natural Science Foundation of China

Fundamental Research Funds for the Central Universities",Australia
89,"Zou W., Shi P., Xiang Z., Shi Y.",Finite-Time Consensus of Second-Order Switched Nonlinear Multi-Agent Systems,2020,35.0,"Australian Research Council

National Natural Science Foundation of China",Australia
90,"Guan X., Li C.-T., Guan Y.",Matrix Factorization with Rating Completion: An Enhanced SVD Model for Collaborative Filtering Recommender Systems,2017,35.0,"H2020 Marie Skłodowska-Curie Actions

Horizon 2020",Australia
91,"Dittrich E., Riklin Raviv T., Kasprian G., Donner R., Brugger P.C., Prayer D., Langs G.",A spatio-temporal latent atlas for semi-supervised learning of fetal brain segmentations and morphological age estimation,2014,35.0,"Seventh Framework Programme

European Commission

Austrian Science Fund

Oesterreichische Nationalbank",Australia
92,"Xia Y., Feng D., Zhao R.",Adaptive segmentation of textured images by using the coupled Markov random field Model,2006,35.0,"Appalachian Regional Commission

National Natural Science Foundation of China

Aeronautical Science Foundation of China",Australia
93,"Huang L., Li J., Hao H., Li X.",Micro-seismic event detection and location in underground mines by using Convolutional Neural Networks (CNN) and deep learning,2018,34.0,National Natural Science Foundation of China,Australia
94,"Li P., Li T., Ye H., Li J., Chen X., Xiang Y.",Privacy-preserving machine learning with multiple data providers,2018,34.0,"Australian Research Council

National Natural Science Foundation of China

Natural Science Foundation of Guangdong Province

Science and Technology Planning Project of Guangdong Province",Australia
95,"Peijuan Z., Ming W.C., Zhouhong Z., Liqi W.",A new active learning method based on the learning function U of the AK-MCS reliability analysis method,2017,33.0,"National Natural Science Foundation of China

Priority Academic Program Development of Jiangsu Higher Education Institutions",Australia
96,"Zhang J., Xiao W., Zhang S., Huang S.",Device-free localization via an extreme learning machine with parameterized geometrical feature extraction,2017,33.0,National Natural Science Foundation of China,Australia
97,"Pourpanah F., Shi Y., Lim C.P., Hao Q., Tan C.J.",Feature selection based on brain storm optimization for data classification,2019,32.0,"National Natural Science Foundation of China

Shenzhen Science and Technology Innovation Commission",Australia
98,"Yang M., Zhu T., Liu B., Xiang Y., Zhou W.",Machine Learning Differential Privacy With Multifunctional Aggregation in a Fog Computing Architecture,2018,32.0,National Natural Science Foundation of China,Australia
99,"Hernández-Orallo J., Martínez-Plumed F., Schmid U., Siebers M., Dowe D.L.",Computer models solving intelligence test problems: Progress and implications,2016,32.0,"European Commission

Ministerio de Economía y Competitividad

Generalitat Valenciana

European Regional Development Fund",Australia
100,"McClymont D., Mehnert A., Trakic A., Kennedy D., Crozier S.",Fully automatic lesion segmentation in breast MRI using mean-shift and graph-cuts on a region adjacency graph,2014,32.0,Seventh Framework Programme,Australia
101,"Deng S., Zhao H., Fang W., Yin J., Dustdar S., Zomaya A.Y.",Edge Intelligence: The Confluence of Edge Computing and Artificial Intelligence,2020,30.0,"National Natural Science Foundation of China

Natural Science Foundation of Zhejiang Province

National Key Research and Development Program of China",Australia
102,"Ren Z., Dong D., Li H., Chen C.",Self-Paced Prioritized Curriculum Learning with Coverage Penalty in Deep Reinforcement Learning,2018,29.0,"Australian Research Council

National Natural Science Foundation of China

National Key Research and Development Program of China",Australia
103,"Chen Y., Zheng W.X.",Stability and L2 performance analysis of stochastic delayed neural networks,2011,29.0,"National Science Foundation

Australian Research Council

National Natural Science Foundation of China

National Key Research and Development Program of China",Australia
104,"Jia P., Yu C., Remais J.V., Stein A., Liu Y., Brownson R.C., Lakerveld J., Wu T., Yang L., Smith M., Amer S., Pearce J., Kestens Y., Kwan M.-P., Lai S., Xu F., Chen X., Rundle A., Xiao Q., Xue H., Luo M., Zhao L., Cheng G., Yang S., Zhou X., Li Y., Panter J., Kingham S., Jones A., Johnson B.T., Shi X., Zhang L., Wang L., Wu J., Mavoa S., Toivonen T., Mwenda K.M., Wang Y., Verschuren W.M.M., Vermeulen R., James P.",Spatial Lifecourse Epidemiology Reporting Standards (ISLE-ReSt) statement,2020,28.0,"Wellcome Trust

United Kingdom Clinical Research Collaboration

Medical Research Council

Economic and Social Research Council

National Institute for Health Research

British Heart Foundation

National Health and Medical Research Council

Koninklijke Nederlandse Akademie van Wetenschappen

National Natural Science Foundation of China

Nederlandse Organisatie voor Wetenschappelijk Onderzoek

Chinese Center for Disease Control and Prevention

Education Department of Henan Province

State Key Laboratory of Urban and Regional Ecology

West China Hospital, Sichuan University

Lorentz Center

National Health Commission of the People's Republic of China",Australia
105,"Xu Y., Cheng P., Chen Z., Li Y., Vucetic B.",Mobile collaborative spectrum sensing for heterogeneous networks: A Bayesian machine learning approach,2018,28.0,"Australian Research Council

National Natural Science Foundation of China",Australia
106,"Zare H., Bashashati A., Kridel R., Aghaeepour N., Haffari G., Connors J.M., Gascoyne R.D., Gupta A., Brinkman R.R., Weng A.P.",Automated analysis of multidimensional flow cytometry data improves diagnostic accuracy between mantle cell lymphoma and small lymphocytic lymphoma,2012,28.0,National Institute of Biomedical Imaging and Bioengineering,Australia
107,"Cao L., Dai R., Zhou M.","Metasynthesis: M-space, M-interaction, and M-computing for open complex giant systems",2009,28.0,"Australian Research Council

National Natural Science Foundation of China

Ministry of Education of the People's Republic of China

Changjiang Scholar Program of Chinese Ministry of Education",Australia
108,"Gilbert F., Cook M., O’Brien T., Illes J.",Embodiment and Estrangement: Results from a First-in-Human “Intelligent BCI” Trial,2019,27.0,"National Science Foundation

Australian Research Council",Australia
