Authors,Title,Year,Cited by,Link,Funding Details,Publication Stage
"Whelan R., Watts R., Orr C.A., Althoff R.R., Artiges E., Banaschewski T., Barker G.J., Bokde A.L.W., Büchel C., Carvalho F.M., Conrod P.J., Flor H., Fauth-Bühler M., Frouin V., Gallinat J., Gan G., Gowland P., Heinz A., Ittermann B., Lawrence C., Mann K., Martinot J.-L., Nees F., Ortiz N., Paillère-Martinot M.-L., Paus T., Pausova Z., Rietschel M., Robbins T.W., Smolka M.N., Ströhle A., Schumann G., Garavan H.","Neuropsychosocial profiles of current and future adolescent alcohol misusers",2014,247,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906266049&doi=10.1038%2fnature13402&partnerID=40&md5=4d170f877bc240b77dc60c2415b77558","National Institute of Mental Health

National Institute on Drug Abuse

National Institute of General Medical Sciences

National Aeronautics and Space Administration

King’s College London

South London and Maudsley NHS Foundation Trust

Wellcome Trust

Medical Research Council

National Institute for Health Research

University of Cambridge

Deutsche Forschungsgemeinschaft

Bundesministerium für Bildung und Forschung

Mission Interministérielle de Lutte Contre les Drogues et les Conduites Addictives","Final"
"Mairal J., Bach F., Ponce J.","Sparse modeling for image and vision processing",2014,246,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919696357&doi=10.1561%2f0600000058&partnerID=40&md5=e7ce58cc890b3651a361627aace001a0","Seventh Framework Programme","Final"
"Coyle S., Lau K.-T., Moyna N., O'Gorman D., Diamond D., Di Francesco F., Costanzo D., Salvo P., Trivella M.G., De Rossi D.E., Taccini N., Paradiso R., Porchet J.-A., Ridolfi A., Luprano J., Chuzel C., Lanier T., Revol-Cavalier F., Schoumacker S., Mourier V., Chartier I., Convert R., De-Moncuit H., Bini C.","BIOTEXBiosensing textiles for personalised healthcare management",2010,223,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949684516&doi=10.1109%2fTITB.2009.2038484&partnerID=40&md5=7fb7687703b50730e443d56dca1c9b20","European Commission

Science Foundation Ireland","Final"
"Bastug E., Bennis M., Medard M., Debbah M.","Toward Interconnected Virtual Reality: Opportunities, Challenges, and Enablers",2017,197,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028333512&doi=10.1109%2fMCOM.2017.1601089&partnerID=40&md5=c8fe26db4858323e332b5c105c9a3100","European Research Council

Academy of Finland","Final"
"Nakhleh M.K., Amal H., Jeries R., Broza Y.Y., Aboud M., Gharra A., Ivgi H., Khatib S., Badarneh S., Har-Shai L., Glass-Marmor L., Lejbkowicz I., Miller A., Badarny S., Winer R., Finberg J., Cohen-Kaminsky S., Perros F., Montani D., Girerd B., Garcia G., Simonneau G., Nakhoul F., Baram S., Salim R., Hakim M., Gruber M., Ronen O., Marshak T., Doweck I., Nativ O., Bahouth Z., Shi D.-Y., Zhang W., Hua Q.-L., Pan Y.-Y., Tao L., Liu H., Karban A., Koifman E., Rainis T., Skapars R., Sivins A., Ancans G., Liepniece-Karele I., Kikuste I., Lasina I., Tolmanis I., Johnson D., Millstone S.Z., Fulton J., Wells J.W., Wilf L.H., Humbert M., Leja M., Peled N., Haick H.","Diagnosis and Classification of 17 Diseases from 1404 Subjects via Pattern Analysis of Exhaled Molecules",2017,196,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018193220&doi=10.1021%2facsnano.6b04930&partnerID=40&md5=955d00c9068ba3342f6e89850b8f534c","Seventh Framework Programme","Final"
"Zeydan E., Bastug E., Bennis M., Kader M.A., Karatepe I.A., Er A.S., Debbah M.","Big data caching for networking: Moving from cloud to edge",2016,195,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991096537&doi=10.1109%2fMCOM.2016.7565185&partnerID=40&md5=1d96b3c05293a6b621f6848317b721e4","Seventh Framework Programme

European Research Council","Final"
"Devillers L., Vidrascu L., Lamel L.","Challenges in real-life emotion annotation and machine learning based detection",2005,194,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-21544459345&doi=10.1016%2fj.neunet.2005.03.007&partnerID=40&md5=0dbcb81c5febf1d4f7d2753d699b6b32","European Commission","Final"
"Clatz O., Delingette H., Talos I.-F., Golby A.J., Kikinis R., Jolesz F.A., Ayache N., Warfield S.K.","Robust nonrigid registration to capture brain shift from intraoperative MRI",2005,192,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-27744441182&doi=10.1109%2fTMI.2005.856734&partnerID=40&md5=ecd04911b32e61def9ef0d9d4792f5ba","National Science Foundation

National Institutes of Health

National Institute of Mental Health

National Cancer Institute

National Center for Research Resources

Whitaker Foundation","Final"
"Paschos G., Bastug E., Land I., Caire G., Debbah M.","Wireless caching: Technical misconceptions and business barriers",2016,188,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983372855&doi=10.1109%2fMCOM.2016.7537172&partnerID=40&md5=57a42447a4eba648297dc98174b2fc49","Seventh Framework Programme","Final"
"Chen M., Challita U., Saad W., Yin C., Debbah M.","Artificial Neural Networks-Based Machine Learning for Wireless Networks: A Tutorial",2019,185,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068579797&doi=10.1109%2fCOMST.2019.2926625&partnerID=40&md5=9ae2b711788b0c2e8f8393e50637bd61","National Science Foundation

National Natural Science Foundation of China

Natural Science Foundation of Beijing Municipality

Higher Education Discipline Innovation Project","Final"
"Kubler S., Robert J., Derigent W., Voisin A., Le Traon Y.","A state-of the-art survey & testbed of fuzzy AHP (FAHP) applications",2016,174,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986583850&doi=10.1016%2fj.eswa.2016.08.064&partnerID=40&md5=e13ada0cac025858656a64b255c7dfdc","Horizon 2020 Framework Programme

Fonds National de la Recherche Luxembourg","Final"
"Samir C., Srivastava A., Daoudi M.","Three-dimensional face recognition using shapes of facial curves",2006,167,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947120582&doi=10.1109%2fTPAMI.2006.235&partnerID=40&md5=e82c441e379279a12d69673feee533fd","National Science Foundation","Final"
"Amilhastre J., Fargier H., Marquis P.","Consistency restoration and explanations in dynamic CSPs - Application to configuration",2002,152,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036467697&doi=10.1016%2fS0004-3702%2801%2900162-X&partnerID=40&md5=c1b140f562a11721aaf782ec764d0aba","European Commission","Final"
"Parsons S., Wooldkidge M., Amgoud L.","Properties and complexity of some formal inter-agent dialogues",2003,150,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0041340846&doi=10.1093%2flogcom%2f13.3.347&partnerID=40&md5=c1356681f3f015806ca02bfd6c81df74","National Science Foundation

European Commission","Final"
"Dehaene S., Lau H., Kouider S.","What is consciousness, and could machines have it?",2017,148,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032485615&doi=10.1126%2fscience.aan8871&partnerID=40&md5=3b7933e56cb7107965ec83aa518c120b","National Institute of Neurological Disorders and Stroke

Air Force Office of Scientific Research

Canadian Institute for Advanced Research

Horizon 2020 Framework Programme

European Research Council

Institut National de la Santé et de la Recherche Médicale

Commissariat à l'Énergie Atomique et aux Énergies Alternatives

Fondation du Collège de France","Final"
"Konieczny S., Lang J., Marquis P.","DA2 merging operators",2004,146,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-2942665708&doi=10.1016%2fj.artint.2004.04.008&partnerID=40&md5=81a722f10ab3b616e560a566c3644c99","European Regional Development Fund","Final"
"Xu K., Boussemart F., Hemery F., Lecoutre C.","Random constraint satisfaction: Easy generation of hard (satisfiable) instances",2007,141,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34249665990&doi=10.1016%2fj.artint.2007.04.001&partnerID=40&md5=0b3ab09c57c81493b3bff2b1cdc49605","National Natural Science Foundation of China

Foundation for the Author of National Excellent Doctoral Dissertation of the People's Republic of China

Centre National de la Recherche Scientifique

National Key Research and Development Program of China","Final"
"Protiere A., Sapiro G.","Interactive image segmentation via adaptive weighted distances",2007,133,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34047232260&doi=10.1109%2fTIP.2007.891796&partnerID=40&md5=6fae8cd49ed82bad14315e2007eacc96","National Science Foundation

Defense Advanced Research Projects Agency

National Geospatial-Intelligence Agency

Office of Naval Research","Final"
"Gomez S.M., Noble W.S., Rzhetsky A.","Learning to predict protein-protein interactions from protein sequences",2003,132,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0142210290&doi=10.1093%2fbioinformatics%2fbtg352&partnerID=40&md5=baca97aa93968cdf77b83a359e47d3e3","National Science Foundation

National Institutes of Health

U.S. Department of Energy

National Institute of General Medical Sciences

Institut Pasteur","Final"
"Romera M., Talatchian P., Tsunegi S., Abreu Araujo F., Cros V., Bortolotti P., Trastoy J., Yakushiji K., Fukushima A., Kubota H., Yuasa S., Ernoult M., Vodenicarevic D., Hirtzlin T., Locatelli N., Querlioz D., Grollier J.","Vowel recognition with four coupled spin-torque nano-oscillators",2018,127,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056119740&doi=10.1038%2fs41586-018-0632-y&partnerID=40&md5=83432190869c6289d010b2b5ab0a0c3d","Horizon 2020 Framework Programme

Agence Nationale de la Recherche","Final"
"Lemaignan S., Warnier M., Sisbot E.A., Clodic A., Alami R.","Artificial cognition for social human–robot interaction: An implementation",2017,125,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84998996792&doi=10.1016%2fj.artint.2016.07.002&partnerID=40&md5=0ab29fc2dafbf5db37c1e031de54ac59","Horizon 2020 Framework Programme

Seventh Framework Programme","Final"
"Fountas S., Carli G., Sørensen C.G., Tsiropoulos Z., Cavalaris C., Vatsanidou A., Liakos B., Canavari M., Wiebensohn J., Tisserye B.","Farm management information systems: Current situation and future perspectives",2015,119,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930193398&doi=10.1016%2fj.compag.2015.05.011&partnerID=40&md5=ffa915e779dd5eb655b26f3d9d8cc4ca","European Commission","Final"
"Peyrat J.-M., Sermesant M., Pennec X., Delingette H., Xu C., McVeigh E.R., Ayache N.","A computational framework for the statistical analysis of cardiac diffusion tensors: Application to a small database of canine hearts",2007,108,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-35648951723&doi=10.1109%2fTMI.2007.907286&partnerID=40&md5=b3f8837fd233926b9780aaa9ba8778e5","National Heart, Lung, and Blood Institute

Siemens USA","Final"
"Furman D., Jojic V., Kidd B., Shen-Orr S., Price J., Jarrell J., Tse T., Huang H., Lund P., Maecker H.T., Utz P.J., Dekker C.L., Koller D., Davis M.M.","Apoptosis and other immune biomarkers predict influenza vaccine responsiveness",2013,106,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876516949&doi=10.1038%2fmsb.2013.15&partnerID=40&md5=be608f2c7d4f94d1662d00c801e4b774","National Institute of Allergy and Infectious Diseases

National Center for Research Resources

Seventh Framework Programme","Final"
"Cooper M.C., de Givry S., Sanchez M., Schiex T., Zytnicki M., Werner T.","Soft arc consistency revisited",2010,103,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950083956&doi=10.1016%2fj.artint.2010.02.001&partnerID=40&md5=dc889fd095d33b9d788589c97527c28b","Seventh Framework Programme

Engineering and Physical Sciences Research Council

Agence Nationale de la Recherche","Final"
"Chen M., Saad W., Yin C., Debbah M.","Echo State Networks for Proactive Caching in Cloud-Based Radio Access Networks with Mobile Users",2017,99,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019754894&doi=10.1109%2fTWC.2017.2683482&partnerID=40&md5=0f9e92ffaf632ae3c6e65e472b807ccc","National Science Foundation

National Natural Science Foundation of China","Final"
"Chrysoulakis N., Lopes M., San José R., Grimmond C.S.B., Jones M.B., Magliulo V., Klostermann J.E.M., Synnefa A., Mitraka Z., Castro E.A., González A., Vogt R., Vesala T., Spano D., Pigeon G., Freer-Smith P., Staszewski T., Hodges N., Mills G., Cartalis C.","Sustainable urban metabolism as a link between bio-physical sciences and urban planning: The BRIDGE project",2013,96,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875275154&doi=10.1016%2fj.landurbplan.2012.12.005&partnerID=40&md5=50f936394d027815fd83eae5df4e0ffd","Seventh Framework Programme

Seventh Framework Programme","Final"
"Calvanese Strinati E., Barbarossa S., Gonzalez-Jimenez J.L., Kténas D., Cassiau N., Maret L., Dehos C.","6G: The Next Frontier: From Holographic Messaging to Artificial Intelligence Using Subterahertz and Visible Light Communication",2019,93,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070689267&doi=10.1109%2fMVT.2019.2921162&partnerID=40&md5=fa6a018cffc3ad1f364904208e59af47","European Commission

Ministry of Internal Affairs and Communications

Institute for Information and Communications Technology Promotion","Final"
"Benosman R., Ieng S.-H., Clercq C., Bartolozzi C., Srinivasan M.","Asynchronous frameless event-based optical flow",2012,93,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856438852&doi=10.1016%2fj.neunet.2011.11.001&partnerID=40&md5=d6593315c3dd32e4e8f3edf8a497252c","Seventh Framework Programme

European Commission","Final"
"Suinesiaputra A., Cowan B.R., Al-Agamy A.O., Elattar M.A., Ayache N., Fahmy A.S., Khalifa A.M., Medrano-Gracia P., Jolly M.-P., Kadish A.H., Lee D.C., Margeta J., Warfield S.K., Young A.A.","A collaborative resource to build consensus for automated left ventricular segmentation of cardiac MR images",2014,92,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884915206&doi=10.1016%2fj.media.2013.09.001&partnerID=40&md5=535f080ea99475d7af19f30ac299f10d","National Institutes of Health

National Heart, Lung, and Blood Institute

National Institute of Neurological Disorders and Stroke

National Institute of Biomedical Imaging and Bioengineering

U.S. National Library of Medicine

Microsoft Research

Eunice Kennedy Shriver National Institute of Child Health and Human Development

Seventh Framework Programme

European Research Council","Final"
"Ba S.O., Odobez J.-M.","Multiperson visual focus of attention from head pose and meeting contextual cues",2011,92,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649315965&doi=10.1109%2fTPAMI.2010.69&partnerID=40&md5=395767eefc8af66440ba455890c7bb9d","Sixth Framework Programme","Final"
"Cont A.","A coupled duration-focused architecture for real-time music-to-score alignment",2010,90,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951621999&doi=10.1109%2fTPAMI.2009.106&partnerID=40&md5=3732e17b8df6c35f08292c9e4d754801","Seventh Framework Programme

European Commission

Seventh Framework Programme","Final"
"Rogister P., Benosman R., Ieng S.-H., Lichtsteiner P., Delbruck T.","Asynchronous event-based binocular stereo matching",2012,88,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867723133&doi=10.1109%2fTNNLS.2011.2180025&partnerID=40&md5=c2d4ae96765f2e2ed244aa2c5bedf905","National Science Foundation","Final"
"Gautier N., Aider J.-L., Duriez T., Noack B.R., Segond M., Abel M.","Closed-loop separation control using machine learning",2015,85,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927627773&doi=10.1017%2fjfm.2015.95&partnerID=40&md5=0b8156d63172ddc15b6578ce65e6f297","Seventh Framework Programme","Final"
"Endert A., Ribarsky W., Turkay C., Wong B.L.W., Nabney I., Blanco I.D., Rossi F.","The State of the Art in Integrating Machine Learning into Visual Analytics",2017,83,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016273988&doi=10.1111%2fcgf.13092&partnerID=40&md5=ed35cfe47deb19b88fa4d8f5f07e8fa0","Pacific Northwest National Laboratory

Federación Española de Enfermedades Raras

European Regional Development Fund","Final"
"Ledig C., Heckemann R.A., Hammers A., Lopez J.C., Newcombe V.F.J., Makropoulos A., Lötjönen J., Menon D.K., Rueckert D.","Robust whole-brain segmentation: Application to traumatic brain injury",2015,83,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922448678&doi=10.1016%2fj.media.2014.12.003&partnerID=40&md5=3decab2c23e0d5090d0372d8c778975b","Utah Department of Health

Seventh Framework Programme

Medical Research Council

Engineering and Physical Sciences Research Council

National Institute for Health Research

Department of Health and Social Care

Imperial College London

Imperial College Healthcare NHS Trust

European Commission","Final"
"Delgorge C., Courrèges F., Al Bassit L., Novales C., Rosenberger C., Smith-Guerin N., Brù C., Gilabert R., Vannoni M., Poisson G., Vieyres P.","A tele-operated mobile ultrasound scanner using a light-weight robot",2005,78,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-20144372476&doi=10.1109%2fTITB.2004.840062&partnerID=40&md5=63c50e7463a896474736df29943b6199","European Commission","Final"
"Bessièrea C., Freuder E.C., Régin J.-C.","Using constraint metaknowledge to reduce arc consistency computation",1999,77,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032639823&doi=10.1016%2fs0004-3702%2898%2900105-2&partnerID=40&md5=ea5ce4d563793082420510944759b70f","National Science Foundation","Final"
"Travé-Massuyès L., Milne R.","Gas-turbine condition monitoring using qualitative model-based diagnosis",1997,77,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031139124&doi=10.1109%2f64.590070&partnerID=40&md5=104f51126db39509688c9e7947f68736","European Commission","Final"
"Lenglet C., Rousson M., Deriche R.","DTI segmentation by statistical surface evolution",2006,75,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746641405&doi=10.1109%2fTMI.2006.873299&partnerID=40&md5=c78f0dc76f8c00a50b4fd73b28e70443","National Center for Research Resources

W. M. Keck Foundation

Mind and Life Institute

Institut national de recherche en informatique et en automatique (INRIA)

Canceropôle Provence-Alpes-Côte d’Azur","Final"
"Yu P., Grant P.E., Qi Y., Han X., Ségonne F., Pienaar R., Busa E., Pacheco J., Makris N., Buckner R.L., Golland P., Fischl B.","Cortical surface shape analysis based on spherical wavelets",2007,74,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34047180009&doi=10.1109%2fTMI.2007.892499&partnerID=40&md5=9efe57e73383c36c003cc432f16c1aa7","National Institutes of Health

National Institute on Aging

National Institute of Neurological Disorders and Stroke

National Institute of Biomedical Imaging and Bioengineering

National Center for Research Resources","Final"
"Yeo B.T.T., Vercauteren T., Fillard P., Peyrat J.-M., Pennec X., Golland P., Ayache N., Clatz O.","DT-REFinD: Diffusion tensor registration with exact finite-strain differential",2009,72,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-72249102368&doi=10.1109%2fTMI.2009.2025654&partnerID=40&md5=5475108b31e05e0ee2bd5fc2098f7663","National Institute of Biomedical Imaging and Bioengineering

National Center for Research Resources","Final"
"Skowron P., Faliszewski P., Lang J.","Finding a collective set of items: From proportional multirepresentation to group recommendation",2016,71,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989920905&doi=10.1016%2fj.artint.2016.09.003&partnerID=40&md5=16fbc8982be90e6a3820d4bc93d72c24","Horizon 2020 Framework Programme

European Research Council

European Cooperation in Science and Technology

Narodowe Centrum Nauki","Final"
"Hinaut X., Dominey P.F.","Real-Time Parallel Processing of Grammatical Structure in the Fronto-Striatal System: A Recurrent Network Simulation Study Using Reservoir Computing",2013,71,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873259375&doi=10.1371%2fjournal.pone.0052946&partnerID=40&md5=5de0a86824b68e94bb05d356a0fdac3a","Seventh Framework Programme","Final"
"Biber P., Borges J.G., Moshammer R., Barreiro S., Botequim B., Brodrechtová Y., Brukas V., Chirici G., Cordero-Debets R., Corrigan E., Eriksson L.O., Favero M., Galev E., Garcia-Gonzalo J., Hengeveld G., Kavaliauskas M., Marchetti M., Marques S., Mozgeris G., Navrátil R., Nieuwenhuis M., Orazio C., Paligorov I., Pettenella D., Sedmák R., Smreček R., Stanislovaitis A., Tomé M., Trubins R., Tuček J., Vizzarri M., Wallin I., Pretzsch H., Sallnäs O.","How sensitive are ecosystem services in European forest landscapes to silvicultural treatment?",2015,69,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930632697&doi=10.3390%2ff6051666&partnerID=40&md5=5d557535bcdc9e278711de7785226380","Seventh Framework Programme","Final"
"Ma J., Miller M.I., Trouvé A., Younes L.","Bayesian template estimation in computational anatomy",2008,68,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-45849088792&doi=10.1016%2fj.neuroimage.2008.03.056&partnerID=40&md5=5d65a1d67139518f484415b9fe00145a","National Science Foundation

National Institutes of Health

National Institute of Mental Health

National Institute on Aging

National Institute of Biomedical Imaging and Bioengineering

National Center for Research Resources","Final"
