,area_type,availability,location,size,society,total_sqft,bath,balcony,price
25,Super built-up  Area,18-May,Mangammanapalya,3 BHK,,1250,3.0,2.0,56.0
26,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1.0,1.0,23.1
27,Built-up  Area,20-Dec,Whitefield,3 BHK,,1610,3.0,2.0,81.0
28,Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151,2.0,2.0,48.77
29,Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025,2.0,1.0,47.0
31,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,35.0
32,Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,2.0,2.0,123.0
33,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3.0,3.0,57.39
34,Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925,3.0,,125.0
35,Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,36.0
36,Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,1070,2.0,1.0,45.5
37,Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3.0,2.0,125.0
38,Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,1290,2.0,2.0,56.12
39,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1143,2.0,2.0,45.0
40,Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,1296,2.0,,81.0
41,Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254,3.0,2.0,38.0
42,Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600,1.0,0.0,38.0
43,Plot  Area,Ready To Move,Yelahanka,1 Bedroom,,660,1.0,0.0,48.0
45,Plot  Area,Ready To Move,HSR Layout,8 Bedroom,,600,9.0,,200.0
46,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970,2.0,0.0,33.0
47,Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459,2.0,1.0,94.82
48,Plot  Area,Ready To Move,KR Puram,2 Bedroom,,800,1.0,1.0,130.0
49,Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,,869,2.0,1.0,36.0
50,Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270,2.0,1.0,50.0
51,Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Rosha I,1670,3.0,1.0,99.0
52,Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3.0,2.0,91.0
53,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185,2.0,2.0,75.0
54,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600,2.0,3.0,75.0
55,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,44.0
57,Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500,2.0,2.0,185.0
58,Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,,1407,4.0,1.0,150.0
59,Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,,840,2.0,2.0,45.0
60,Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,,4395,3.0,2.0,240.0
61,Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845,2.0,1.0,55.0
62,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chranya,5700,5.0,3.0,650.0
63,Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160,2.0,2.0,44.0
64,Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,,3000,8.0,0.0,140.0
65,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,,1100,2.0,1.0,62.0
66,Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140,2.0,3.0,43.0
67,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1220,2.0,1.0,57.0
68,Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,,1350,7.0,0.0,85.0
69,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1005,2.0,1.0,36.68
70,Plot  Area,Ready To Move,Double Road,3 Bedroom,,500,3.0,2.0,100.0
71,Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1358,2.0,1.0,80.58
72,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1569,3.0,1.0,101.0
73,Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240,2.0,1.0,70.0
74,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089,3.0,2.0,140.0
75,Super built-up  Area,Ready To Move,Kothannur,2 BHK,,1206,2.0,1.0,48.23
76,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1150,2.0,3.0,40.0
77,Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2511,3.0,3.0,205.0
78,Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,,460,1.0,0.0,22.0
79,Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,,4400,6.0,3.0,250.0
80,Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,AdentEl,1660,2.0,2.0,105.0
82,Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326,2.0,2.0,78.0
83,Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,,1325,2.0,2.0,60.8
84,Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1499,5.0,2.0,102.0
85,Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,,3000,7.0,2.0,210.0
86,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1665,3.0,2.0,88.0
87,Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,708,2.0,2.0,37.0
88,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1060,2.0,2.0,58.06
89,Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,,710,6.0,3.0,160.0
90,Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti ,1000,2.0,2.0,70.0
91,Super built-up  Area,18-Dec,Electronic City,2 BHK,,1000,2.0,1.0,28.88
92,Super built-up  Area,Ready To Move, Mysore Highway,3 BHK,,1450,2.0,2.0,70.0
93,Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,,1200,4.0,2.0,155.0
94,Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy ,1296,2.0,3.0,80.0
95,Super built-up  Area,Ready To Move,Domlur,3 BHK,,1540,3.0,2.0,90.0
96,Plot  Area,Ready To Move,Kengeri,4 Bedroom,Goardth,2894,4.0,1.0,245.0
97,Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,,1330,2.0,1.0,48.0
98,Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,,1200,2.0,1.0,65.0
99,Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,,1200,3.0,1.0,90.0
100,Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2502,3.0,3.0,138.0
101,Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,650,1.0,1.0,17.0
102,Plot  Area,Ready To Move,Kothanur,3 Bedroom,BDensar,2400,2.0,1.0,150.0
103,Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,1007,2.0,2.0,43.0
104,Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,1200,2.0,2.0,50.0
105,Super built-up  Area,Ready To Move,Peenya,2 BHK,,966,2.0,2.0,49.9
106,Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,,1630,2.0,1.0,98.0
107,Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,2.0,229.0
108,Built-up  Area,Ready To Move,Jalahalli West,2 BHK,,782,2.0,2.0,55.68
109,Super built-up  Area,19-Apr,Devanahalli,2 BHK,Oznuean,1260,2.0,2.0,66.78
110,Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,,1800,3.0,3.0,120.0
111,Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Reeroce,1413,2.0,2.0,75.0
112,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116,2.0,1.0,51.91
113,Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1530,2.0,1.0,45.9
114,Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,3700,4.0,1.0,225.0
115,Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Cetattu,2497,3.0,2.0,140.0
116,Super built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1540,2.0,3.0,64.0
117,Super built-up  Area,18-Dec,Thanisandra,3 BHK,,1436,3.0,1.0,74.75
118,Super built-up  Area,18-Jun,Malleshwaram,2 BHK,,1100,2.0,2.0,75.0
119,Plot  Area,Ready To Move,Hennur Road,2 Bedroom,,276,3.0,3.0,23.0
120,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Moity S,1427,3.0,2.0,120.0
121,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,2061,3.0,1.0,200.0
123,Built-up  Area,Ready To Move,Shampura,4 BHK,,2650,4.0,2.0,150.0
124,Super built-up  Area,22-Dec,Devanahalli,3 BHK,Sabixtt,1282,2.0,2.0,68.52
125,Built-up  Area,Ready To Move,Kadugodi,2 BHK,,1050,2.0,1.0,34.0
126,Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,Sragei ,1600,3.0,2.0,65.0
127,Super built-up  Area,22-Jan,Vajarahalli,2 BHK,,945,2.0,1.0,54.0
128,Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyidaCr,1500,2.0,1.0,78.0
129,Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,,950,7.0,0.0,115.0
130,Built-up  Area,Ready To Move,Peenya,3 BHK,Jahts H,1870,3.0,3.0,110.0
131,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1600,3.0,1.0,75.0
132,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,880,1.0,1.0,16.5
133,Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,,1200,4.0,0.0,210.0
134,Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3.0,2.0,83.0
135,Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2.0,1.0,57.0
136,Super built-up  Area,18-Aug,Devanahalli,2 BHK,Derdsig,1360,2.0,1.0,65.0
138,Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,,1280,3.0,1.0,50.4
139,Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260,2.0,2.0,85.05
140,Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,,5000,8.0,,250.0
141,Super built-up  Area,19-Dec,Yelahanka,5 BHK,LedorSa,3050,5.0,1.0,213.0
143,Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,,1000,2.0,1.0,60.0
144,Super built-up  Area,17-Jul,Anandapura,2 BHK,ViensRK,1167,2.0,1.0,43.76
145,Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,,4000,7.0,2.0,225.0
146,Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1828,3.0,,110.0
147,Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,HoiewLa,890,2.0,1.0,35.0
148,Super built-up  Area,Ready To Move,Basavanapura,3 BHK,Dwity T,1612,3.0,3.0,46.74
149,Plot  Area,Ready To Move,Dinnur,6 Bedroom,,1034,5.0,,185.0
150,Super built-up  Area,19-Apr,Mysore Road,3 BHK,Brama P,1710,4.0,2.0,91.31
151,Super built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957,2.0,1.0,58.0
152,Super built-up  Area,18-May, Devarachikkanahalli,3 BHK,,1250,2.0,3.0,44.0
153,Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,Betatsi,2795,4.0,,235.0
154,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Prcan P,1125,2.0,2.0,50.0
155,Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1020,2.0,1.0,30.6
156,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1200,2.0,2.0,50.0
157,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1735,3.0,3.0,135.0
158,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,2050,3.0,1.0,145.0
159,Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,,3750,4.0,0.0,760.0
160,Built-up  Area,Ready To Move,Yarandahalli,3 BHK,,1350,2.0,3.0,48.0
161,Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063,2.0,1.0,32.0
162,Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904,3.0,1.0,150.0
163,Built-up  Area,Ready To Move,Whitefield,4 Bedroom,,4200,4.0,2.0,420.0
164,Super built-up  Area,Ready To Move,RMV Extension,3 BHK,Hohnari,2000,3.0,1.0,175.0
166,Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Naods W,1425,2.0,2.0,75.0
167,Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500,2.0,1.0,64.5
168,Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060,2.0,1.0,60.0
169,Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,Sancyra,1470,2.0,2.0,70.0
170,Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,,1300,6.0,0.0,99.0
171,Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,450,1.0,1.0,11.0
172,Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1152,2.0,1.0,64.5
173,Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1350,2.0,1.0,56.0
174,Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Srshq T,1550,3.0,3.0,65.0
175,Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 Bedroom,,1500,3.0,2.0,100.0
176,Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,,600,3.0,2.0,85.0
177,Plot  Area,Ready To Move,Nagavara,1 Bedroom,,400,1.0,0.0,14.0
178,Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,Utntspa,705,1.0,2.0,67.0
179,Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1.0,1.0,36.0
180,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Aniona ,1242,2.0,3.0,51.0
181,Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1700,3.0,2.0,155.0
182,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,2144,3.0,2.0,145.0
183,Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saahaat,1704,3.0,2.0,110.0
184,Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2.0,1.0,52.0
185,Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,,1846,3.0,2.0,300.0
186,Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,,1340,2.0,2.0,55.7
187,Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1025,2.0,1.0,46.0
189,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,VRave E,1200,2.0,2.0,52.0
190,Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,,2250,4.0,1.0,110.0
191,Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,MaidoPl,1550,2.0,3.0,80.0
192,Plot  Area,Ready To Move,Bellandur,4 Bedroom,,1200,5.0,,325.0
193,Plot  Area,Ready To Move,Ejipura,7 Bedroom,,1800,7.0,1.0,250.0
194,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aiitya ,1200,2.0,2.0,60.0
195,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1327,2.0,2.0,98.0
196,Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1186,2.0,2.0,58.0
197,Built-up  Area,Ready To Move,MS Pallya,3 Bedroom,,1783,3.0,1.0,115.0
198,Super built-up  Area,Ready To Move,HSR Layout,3 BHK,NRosete,1400,3.0,2.0,56.0
199,Super built-up  Area,Ready To Move,Nagasandra,2 BHK,,980,2.0,1.0,48.0
200,Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,,1285,2.0,2.0,82.0
201,Super built-up  Area,Ready To Move,Langford Town,3 BHK,,912,2.0,1.0,70.0
202,Built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya ,1225,2.0,2.0,47.6
203,Super built-up  Area,Ready To Move,Whitefield,2 BHK,,1075,2.0,1.0,53.0
204,Built-up  Area,Ready To Move,Kadugodi,3 BHK,MSingco,1260,2.0,2.0,54.0
205,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1282,2.0,2.0,48.7
206,Super built-up  Area,Ready To Move,Kogilu,3 BHK,CaIRSCr,1909,3.0,2.0,88.0
207,Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1359,2.0,1.0,87.0
208,Built-up  Area,Ready To Move,Nagondanahalli,2 BHK,,1207,2.0,2.0,43.5
209,Plot  Area,Ready To Move,Padmanabhanagar,4 Bedroom,,1736,6.0,0.0,190.0
210,Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,,2850,4.0,1.0,428.0
211,Super built-up  Area,Ready To Move,Kammasandra,3 BHK,Emstael,1595,3.0,2.0,65.0
212,Built-up  Area,18-Jun,"Off Sarjapur Road, ",3 BHK,,1798,3.0,2.0,89.0
213,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,SNdri N,1475,3.0,2.0,78.29
214,Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,HodhiSa,1580,3.0,3.0,100.0
215,Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Syonyph,1295,2.0,1.0,65.0
216,Built-up  Area,Ready To Move,Magadi Road,6 Bedroom,,3600,6.0,0.0,141.0
217,Super built-up  Area,Ready To Move,Electronic City,1 BHK,Itvir M,589,1.0,1.0,27.0
218,Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,,1415,3.0,3.0,78.0
219,Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,Klark L,1787,3.0,2.0,98.29
220,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1787,3.0,2.0,125.0
221,Super built-up  Area,Ready To Move,Koramangala,3 BHK,Piityra,1475,2.0,3.0,90.0
222,Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,,2000,4.0,1.0,75.5
223,Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,AsastDe,984,2.0,1.0,44.28
225,Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3 BHK,MacleK ,2405,4.0,2.0,260.0
226,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1080,2.0,2.0,72.0
227,Plot  Area,Ready To Move,Shantiniketan Layout,2 Bedroom,,1500,2.0,1.0,115.0
228,Super built-up  Area,Ready To Move,Hebbal,3 BHK,,1900,3.0,2.0,119.0
229,Super built-up  Area,19-Aug,Dommasandra,2 BHK,,805,2.0,1.0,22.14
230,Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153,2.0,2.0,56.4
231,Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,AlEcone,1148,2.0,2.0,60.0
232,Super built-up  Area,Ready To Move,Mylasandra,2 BHK,Laowsba,1110,2.0,2.0,55.0
233,Built-up  Area,Ready To Move,Electronic City,2 BHK,Saave R,1100,2.0,2.0,42.0
234,Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,Anave S,1290,2.0,2.0,110.0
235,Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3 BHK,,1500,2.0,1.0,65.0
236,Super built-up  Area,18-Apr,Bank Of Baroda Colony,2 BHK,,1080,2.0,2.0,39.0
237,Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1933,3.0,1.0,129.0
238,Built-up  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,,3500,5.0,2.0,150.0
239,Built-up  Area,Ready To Move,Kullappa Colony,2 BHK,,1060,2.0,2.0,60.0
240,Super built-up  Area,18-Aug,Chandapura,1 BHK,SunceEs,645,1.0,1.0,16.45
241,Plot  Area,Ready To Move,Mukkutam Nagar,8 Bedroom,,2600,8.0,2.0,180.0
242,Super built-up  Area,18-Sep,Chandapura,1 BHK,SunceEs,645,1.0,1.0,16.45
243,Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,SJcerpe,1644,3.0,3.0,84.0
244,Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2 BHK,Supams ,1285,2.0,3.0,72.5
245,Plot  Area,Ready To Move,Electronic City,3 Bedroom,,1200,3.0,1.0,90.0
246,Super built-up  Area,Ready To Move,Electronic City,2 BHK,CoapeSo,910,2.0,1.0,40.0
247,Super built-up  Area,Ready To Move,Kothanur,3 BHK,Bisic C,1577,3.0,1.0,70.0
248,Plot  Area,17-May,Meenakunte,3 Bedroom,Sreat R,4050,3.0,2.0,280.0
249,Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,Inntsa ,2420,3.0,2.0,185.0
250,Super built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,800,1.0,1.0,20.0
251,Built-up  Area,Ready To Move,Anand Nagar,2 BHK,,1060,2.0,2.0,55.0
252,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1270,2.0,2.0,93.0
253,Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,2 BHK,,900,2.0,2.0,22.5
254,Built-up  Area,Ready To Move,Kundalahalli Colony,2 Bedroom,,1280,2.0,1.0,69.0
255,Plot  Area,Ready To Move,Horamavu Agara,4 Bedroom,,1200,2.0,0.0,95.0
256,Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1025,2.0,2.0,36.0
257,Super built-up  Area,17-Jun,Electronic City,2 BHK,Prarkun,1108,2.0,1.0,63.0
258,Plot  Area,Ready To Move,MCECHS  layout,5 Bedroom,,1200,5.0,,170.0
259,Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,Calyxy ,3045,3.0,2.0,170.0
260,Plot  Area,Ready To Move,Ambedkar Nagar,4 Bedroom,Thessrm,2900,3.0,2.0,300.0
261,Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,JJortom,1500,3.0,2.0,75.5
262,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295,2.0,2.0,43.9
263,Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1162,2.0,1.0,59.9
264,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,1035,2.0,2.0,49.2
265,Built-up  Area,Ready To Move,Attibele,4 Bedroom,Natic T,1600,4.0,0.0,52.8
266,Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,,1464,3.0,2.0,46.0
267,Super built-up  Area,18-Oct,Hennur Road,3 BHK,DSapeSk,1866,2.0,2.0,61.58
268,Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2 BHK,Jahtsa ,700,1.0,1.0,26.0
269,Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Prillot,1804,3.0,2.0,120.0
270,Super built-up  Area,Ready To Move,Sarjapur,2 BHK,,913,2.0,1.0,32.0
271,Super built-up  Area,21-Dec,Talaghattapura,3 BHK,Sodgere,1868,3.0,2.0,131.0
272,Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,,883,2.0,1.0,45.0
273,Plot  Area,Ready To Move,Sundara Nagar,2 Bedroom,,900,2.0,1.0,110.0
274,Super built-up  Area,Ready To Move,Kogilu,3 BHK,,1664,2.0,3.0,73.95
275,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,2026,3.0,2.0,132.0
276,Super built-up  Area,Ready To Move,Balagere,2 BHK,Soestin,1210,2.0,1.0,80.9
277,Plot  Area,Ready To Move,Meenakunte,4 Bedroom,Sreat R,4111,4.0,2.0,250.0
278,Super built-up  Area,Ready To Move,Kadugodi,3 BHK,Alestrb,1762,3.0,3.0,91.45
279,Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1252,3.0,3.0,55.0
280,Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,Mauner ,861,2.0,1.0,34.5
281,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1420,2.0,1.0,100.0
282,Plot  Area,Ready To Move,Srirampura,6 Bedroom,,1450,6.0,0.0,250.0
